"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-29",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","52",",,0","28",",,0","28",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-30",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","51",",,0","21",",,0","22",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-31",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","33",",,0","21",",,0","21",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-01",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","45",",,0","21",",,0","26",",I,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-02",,,,,,,"0.00","T,,0,0800","0.0","P,,0,","0.0","P,,0,","32",",,0","30",",I,0","32",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-03",,,,,,,"0.31",",,0,0800","0.0","P,,0,","0.0","P,,0,","41",",,0","30",",,0","34",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-04",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","44",",,0","32",",,0","39",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-05",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","45",",,0","24",",,0","25",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-06",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","44",",,0","25",",,0","27",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-07",,,,,,,"0.12",",,0,0800","0.5",",,0,",,,"37",",,0","27",",,0","32",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-08",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,"41",",,0","21",",,0","35",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-09",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,"39",",,0","14",",,0","16",",I,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-10",,,,,,,"0.05",",,0,0800","1.0",",,0,",,,"27",",,0","24",",I,0","26",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-11",,,,,,,"0.21",",,0,0800","1.0",",,0,",,,"30",",,0","29",",I,0","30",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-12",,,,,,,"0.12",",,0,0800","0.5",",,0,",,,"32",",,0","19",",,0","19",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-13",,,,,,,"0.20",",,0,0800","1.0",",,0,",,,"32",",,0","16",",,0","27",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-14",,,,,,,,,,,,,"35",",,0","16",",,0","26",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-15",,,,,,,"0.31",",,0,0800","0.0","P,,0,",,,"38",",,0","26",",,0","33",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-16",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,"38",",,0","27",",,0","28",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-17",,,,,,,"0.45",",,0,0800",,,,,"36",",,0","27",",,0","36",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-18",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,"51",",,0","32",",,0","33",",I,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-19",,,,,,,"0.16",",,0,0800","0.0","P,,0,",,,"47",",,0","36",",I,0","38",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1998-01-20",,,,,,,"0.05",",,0,0800","0.0","P,,0,",,,"42",",,0","30",",,0","30",",,0,0800",,,,,,,,,,,,
